Name,Region,Region:Regional Alentejo,Region:DOC Douro,Region:DOC Alentejo,Region:Regional Península de Setúbal,Region:Espanha,Year,Color,Color:Red,Color:White,Color:Rosé,Castes,AlcoholPercentage,Producer,Producer:Esporão S.A.,"Producer:José Maria da Fonseca Vinhos, S.A.","Producer:João Portugal Ramos - Vinhos, SA",Producer:Ramos Pinto,MinimunPrice,MaximumPrice,Average Price,Average Price in Dollars,Judge,Judge:Domingos Soares Franco,Judge:João Portugal Ramos,Judge:João Nicolau de Almeida,Judge:David Baverstock e Sandra Alves,Judge:David Baverstock e Luís Patrão,JudgeRating
Domingos Soares Franco Colecção Privada 157 Castas 2012,Regional Península de Setúbal,0,0,0,1,0,2012,Red,1,0,0,Várias,13.5,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,10,12.5,11.25,13.1625,Domingos Soares Franco,1,0,0,0,0,15.5
Domingos Soares Franco Colecção Privada Grüner Veltliner & Rabigato & Viognier 2012,Regional Península de Setúbal,0,0,0,1,0,2012,White,0,1,0,"Grüner Veltliner, Rabigato e Viognier",11.5,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,10,12.5,11.25,13.1625,Domingos Soares Franco,1,0,0,0,0,15.5
Domingos Soares Franco Colecção Privada Malbec Clarete 2008,Regional Península de Setúbal,0,0,0,1,0,2008,Red,1,0,0,Malbec,12.5,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,7.5,10,8.75,10.2375,Domingos Soares Franco,1,0,0,0,0,15.5
Domingos Soares Franco Colecção Privada Moscatel Roxo 2011,Regional Península de Setúbal,0,0,0,1,0,2011,Rosé,0,0,1,Moscatel Roxo,12,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,10,12.5,11.25,13.1625,Domingos Soares Franco,1,0,0,0,0,15.5
Domingos Soares Franco Colecção Privada Moscatel Roxo 2014,Regional Península de Setúbal,0,0,0,1,0,2014,Rosé,0,0,1,Moscatel Roxo,12.5,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,10,12.5,11.25,13.1625,Domingos Soares Franco,1,0,0,0,0,15.5
Domingos Soares Franco Colecção Privada Moscatel Roxo 2017,Regional Península de Setúbal,0,0,0,1,0,2017,Rosé,0,0,1,Moscatel Roxo,13,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,10,12.5,11.25,13.1625,Domingos Soares Franco,1,0,0,0,0,15.5
Domingos Soares Franco Colecção Privada Verdelho 2011,Regional Península de Setúbal,0,0,0,1,0,2011,White,0,1,0,Verdelho,13.5,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,10,12.5,11.25,13.1625,Domingos Soares Franco,1,0,0,0,0,15.5
Domingos Soares Franco Colecção Privada Verdelho 2012,Regional Península de Setúbal,0,0,0,1,0,2012,White,0,1,0,Verdelho,12.5,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,10,12.5,11.25,13.1625,Domingos Soares Franco,1,0,0,0,0,15.5
Domingos Touriga Nacional & Syrah 2009,Regional Península de Setúbal,0,0,0,1,0,2009,Red,1,0,0,Touriga Nacional e Syrah,13,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,7.5,10,8.75,10.2375,Domingos Soares Franco,1,0,0,0,0,15.5
Domini 2004,DOC Douro,0,1,0,0,0,2004,Red,1,0,0,"Touriga Franca, Touriga Nacional e Tinta Roriz",14,"José Maria da Fonseca Vinhos, S.A.",0,1,0,0,4,7.5,5.75,6.7275,Domingos Soares Franco,1,0,0,0,0,15.5
